,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,24,NYK,NBA,,5,9,3,3,,,2,2,,,2,11
1968-69,25,NYK,NBA,,10,21,7,7,,,13,7,,,6,22
1969-70,26,NYK,NBA,,12,,4,5,,,,,,,,25
1970-71,27,NYK,NBA,,12,18,3,6,,,6,6,,,5,25
1971-72,28,NYK,NBA,,12,21,10,10,,,5,5,,,6,29
1972-73,29,NYK,NBA,,11,22,9,10,,,7,5,,,6,26
1973-74,30,NYK,NBA,,8,19,4,5,,,5,5,,,6,20
1974-75,31,NYK,NBA,,3,11,2,2,,,4,3,,,2,8
Career,,,,,12,,10,10,,,,,,,,29
