Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Antoine Wright,,1.4,1.2,0.8,0.3,-0.1,-0.5
Ronald Murray,75.6,1.7,1.3,0.7,0.4,-0.3,-0.3
Norris Cole,74.4,1.4,1.2,0.6,0,-0.1,-0.1
Chris Carr,73.8,1.7,1.1,0.9,0.3,0.2,-0.3
Gerald Green,73.6,1.6,1.3,1.2,0.5,0,-0.4
Steve Harris,73.2,1.3,1.2,0.8,0,-0.1,NA
Slick Leonard,70.9,1.5,1.3,1.2,0.4,0.1,-0.1
Steve Alford,70.1,1.4,0.9,0.6,0.3,NA,NA
Jimmy O'Brien,69.9,1.4,1.4,1,0.2,NA,NA
Doug Overton,69.8,1.7,0.9,0.6,0.2,-0.2,-0.4
Anthony Johnson,69.6,1.8,1.1,0.7,0.4,0.3,-0.2
