Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Antoine Wright,,1.4,1.2,0.8,0.3,-0.1,-0.5
Norris Cole,74.4,1.4,1.2,0.6,0,-0.1,-0.1
Chris Carr,73.8,1.7,1.1,0.9,0.3,0.2,-0.3
Steve Harris,73.2,1.3,1.2,0.8,0,-0.1,NA
Steve Alford,70.1,1.4,0.9,0.6,0.3,NA,NA
Jimmy O'Brien,69.9,1.4,1.4,1,0.2,NA,NA
Troy Daniels,67.5,1.4,1.3,1.1,0.3,0.2,0.2
Isaiah Canaan,66.7,1.4,1.4,0.6,0.5,0.2,0.1
Nik Stauskas,66.0,1.4,1.1,0.5,0.5,0.3,NA
Sergio Rodríguez,65.9,1.7,1.2,0.9,0.7,-0.2,NA
Chris Smith,65.7,1.2,1.1,0.9,NA,NA,NA
