Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1991-92,23,LAC,NBA,PF,5,36,25.4,0.715,0.091,0.182,6.3,33.5,19.5,18,1.5,1.9,7.8,16.2,NA,0.1,0.1,0.2,0.266,NA,7,4.8,11.8,0.1
1992-93,24,LAC,NBA,PF,3,50,12.8,0.465,0,0.333,8.1,34.5,20,0,4.1,1.5,14.9,17.3,NA,0,0.1,0.1,0.091,NA,-3.2,0.8,-2.4,0
1996-97,28,LAC,NBA,PF,3,90,21.4,0.644,0.097,0.29,6.2,34.5,18.7,4.7,1.8,1.8,14.6,21.9,NA,0.2,0,0.2,0.099,NA,1.9,1.2,3.1,0.1
1998-99,30,DET,NBA,PF,2,15,12.5,0.5,0,0,0,9.4,4.5,0,4,0,0,13.8,NA,0,0,0,0.095,NA,-0.5,1,0.5,0
1999-00,31,DET,NBA,PF,2,16,2,0,0,0,7.7,40.9,23.8,0,6.7,0,25,12.2,NA,-0.1,0.1,0,-0.134,NA,-5.6,1.3,-4.3,0
Career,NA,,NBA,,15,207,17.9,0.577,0.063,0.25,6.4,33,18.5,5.2,2.8,1.5,13.4,18.5,NA,0.2,0.3,0.5,0.108,NA,0.8,1.7,2.5,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAC,NBA,,11,176,19.8,0.609,0.07,0.281,6.8,34.3,19.2,6.1,2.4,1.7,13.5,19.4,NA,0.3,0.2,0.5,0.131,NA,1.5,1.8,3.3,0.2
2 seasons,NA,DET,NBA,,4,31,7.1,0.286,0,0,4,25.7,14.4,0,5.4,0,12.5,13,NA,-0.1,0.1,0,-0.023,NA,-3.1,1.1,-2,0
