Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Loy Vaught,,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2
Bruce Bowen,93.4,6.2,6.1,5.4,5.1,4.2,4.1,2.2,1.9,1.2,0,0
Wil Jones,90.3,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Lonnie Shelton,89.8,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA
Campy Russell,89.6,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA,NA
Jim Pollard,89.5,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Kenneth Faried,89.0,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Gus Johnson,88.6,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA
Larry Siegfried,87.9,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA
Rod Higgins,86.6,5.9,5.7,5.3,5,3.8,3.7,2.5,2,1.3,1,0.1
Tobias Harris,86.5,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
