Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dion Waiters,,2.1,1.6,1.6,1.2,1.1,0.9,0.1
Alonzo Gee,84.5,2.4,1.9,1.9,1.2,1,0.9,0.4
Shelvin Mack,82.4,2.3,1.9,1.4,1.3,1.3,0.7,0.5
Shaun Livingston,82.3,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Eddie House,80.9,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Al Bianchi,80.6,2.4,1.9,1.8,1.5,0.8,0.8,-0.1
Will Bynum,79.9,1.9,1.7,1.5,1.3,1,-0.1,-0.2
Gary Grant,79.6,3,1.7,1.6,1.3,1.3,0.6,-0.4
Lee Mayberry,79.1,2.1,1.8,1.6,1.6,0.4,0.4,-0.1
Tony Smith,78.0,1.7,1.5,1.3,1.3,0.6,0.5,0.1
Randy Brown,77.6,2.4,1.9,1.8,1.6,1.5,0.4,0.3
