Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dion Waiters,,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA
Alonzo Gee,84.0,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA
Mike Evans,82.1,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Elston Turner,79.6,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,NA
Shelvin Mack,79.3,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA
Lee Mayberry,79.1,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA,NA
Will Bynum,78.1,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2,NA
Ledell Eackles,77.2,2.4,2.1,2,1.2,1,1,1,NA,NA
Em Bryant,76.4,2.1,2,1.9,1.7,1.1,0.5,0.1,-0.7,NA
Jerry Fleishman,74.9,2.2,2.1,1.6,1.3,0.6,NA,NA,NA,NA
Jon Sundvold,74.9,3,1.5,1.2,1,1,0.8,0.2,0.2,0
