Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Roger Mason,,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA,NA
Al Skinner,87.4,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA,NA,NA
Paul Hoffman,85.9,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA,NA,NA
Al Smith,85.9,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA,NA,NA
Andre Roberson,85.1,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Brandon Knight,84.5,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA,NA
Slick Watts,84.5,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA,NA,NA
Ish Smith,83.4,4.4,3.1,1.7,1.3,1,0.3,-0.1,-0.1,-0.4,NA,NA,NA
Jaren Jackson,83.2,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Lee Winfield,82.8,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Keith Askins,82.6,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,NA,NA,NA
