Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Phil Hubbard,,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2
Malik Rose,91.7,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4
Austin Croshere,91.3,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,0.3,0
Ben Poquette,90.1,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6
Al-Farouq Aminu,90.0,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA
Patrick Patterson,89.1,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA
Darnell Hillman,88.8,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,NA
Billy Owens,88.7,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2
Gerald Govan,88.6,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1,NA
Phil Jackson,87.7,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.8,0.5
Cliff Robinson,87.6,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3
