Season,Team,Lg,Salary
2007-08,Golden State Warriors,NBA,"$125,479"
2008-09,Golden State Warriors,NBA,"$711,517"
2009-10,Golden State Warriors,NBA,"$1,000,497"
2010-11,Chicago Bulls,NBA,"$3,100,000"
2011-12,Chicago Bulls,NBA,"$3,400,000"
2013-14,Indiana Pacers,NBA,"$2,016,000"
2014-15,Indiana Pacers,NBA,"$2,106,720"
2015-16,Orlando Magic,NBA,"$5,000,000"
2016-17,Orlando Magic,NBA,"$5,000,000"
2017-18,Orlando Magic,NBA,"$333,334"
2018-19,Orlando Magic,NBA,"$333,333"
Career,(may be incomplete),,"$23,126,880"
