,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1951-52,23,MLH,NBA,,8,,6,10,,,6,20
1952-53,24,MLH,NBA,,11,,7,10,,,,26
1953-54,25,FTW,NBA,,10,,8,,,,,28
1954-55,26,FTW,NBA,,10,,10,14,,,5,22
1955-56,27,FTW,NBA,,11,,7,9,,,6,24
1956-57,28,FTW,NBA,,12,,10,10,,,5,27
1957-58,29,NYK,NBA,,9,,5,7,,,,18
Career,,,,,12,,10,,,,,28
4 Seasons,,FTW,NBA,,12,,10,,,,,28
2 Seasons,,MLH,NBA,,11,,7,10,,,,26
1 Season,,NYK,NBA,,9,,5,7,,,,18
