Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mel Hutchins,,6.9,5.8,4.4,3.9,3.8,2.8,0.3
Robert Horry,91.5,6.6,5.9,4.9,4.2,3.6,2.9,1.7
Harvey Grant,90.1,6.7,5,4.3,4,3.9,2.6,1.7
Ruben Patterson,89.6,6.7,5.6,5.5,3.4,3.2,3,0.2
Ed Davis,89.5,6.7,6.3,5.4,4,3.9,2.6,1.7
Dave DeBusschere,89.4,6.6,5.9,5.2,4.7,3.7,3.6,0
Juwan Howard,89.2,7,5.6,4.6,4.4,2.8,2.8,1.9
Jeff Green,89.0,6.6,5.2,4.8,4.7,4.2,3.3,0.2
Carl Landry,89.0,7.7,6.2,5.9,4.1,3.7,2.9,0.4
Mike Bantom,88.9,5.9,5.2,4.8,4.5,3.9,2.7,0.5
Terry Mills,88.6,6.3,6.2,3.9,3.8,3.7,3.7,1.3
