Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Curly Armstrong,,3.5,3.1,0.6,NA,NA
Terry Furlow,87.1,3.3,2.8,1.1,0,NA
Keith Jennings,86.7,4.2,2.9,0.6,NA,NA
George Karl,86.2,3.4,3.3,1.3,0,-0.2
Ron Sobie,86.0,3.6,2.6,0.9,0.1,NA
Billy Ray Bates,83.5,3.6,2.4,0.9,0,NA
Pat Connaughton,81.8,3.9,2.5,0.6,-0.2,NA
Tyus Jones,81.6,3.6,3,1.5,0.3,NA
Earl Tatum,78.5,4.4,2.6,0.7,0,NA
Mervin Jackson,75.2,3.1,3.1,1.8,-0.2,-0.2
Alfred McGuire,74.4,3.4,1.9,0.1,NA,NA
