,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2002-03,22,MEM,NBA,16:26,1,4,0,0,1,4,2,4,2,4,6,2,0,2,2,3,4,2.9
2003-04,23,TOT,NBA,25:12,2,4,0,0,2,4,2,4,4,3,6,4,3,1,2,5,6,8.4
2003-04,23,PHO,NBA,6:26,0,1,0,0,0,1,1,2,0,1,1,1,0,0,1,1,1,-0.5
2003-04,23,ORL,NBA,4:23,1,2,0,0,1,2,0,2,0,1,1,0,1,0,0,0,2,1.5
2003-04,23,TOR,NBA,25:12,2,4,0,0,2,4,2,4,4,3,6,4,3,1,2,5,6,8.4
Career,,,,25:12,2,4,0,0,2,4,2,4,4,4,6,4,3,2,2,5,6,8.4
1 Season,,TOR,NBA,25:12,2,4,0,0,2,4,2,4,4,3,6,4,3,1,2,5,6,8.4
1 Season,,MEM,NBA,16:26,1,4,0,0,1,4,2,4,2,4,6,2,0,2,2,3,4,2.9
1 Season,,ORL,NBA,4:23,1,2,0,0,1,2,0,2,0,1,1,0,1,0,0,0,2,1.5
1 Season,,PHO,NBA,6:26,0,1,0,0,0,1,1,2,0,1,1,1,0,0,1,1,1,-0.5
