Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Willie Burton,,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1
Mark Acres,89.7,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA
McCoy McLemore,87.4,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3
Shellie McMillon,86.5,2.5,2.2,1.7,1.7,NA,NA,NA,NA
Justin Holiday,84.1,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA
Tony Massenburg,84.0,2.8,2.2,1.8,1.7,1.3,0.4,0.2,-0.1
Shelden Williams,82.0,2.2,2.1,2,1.9,1.2,0.5,NA,NA
Jarvis Hayes,80.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA
Don Barksdale,80.5,3.1,2.3,2.2,1.5,NA,NA,NA,NA
David Wood,80.3,2.8,2.3,2.2,1.3,1,0.5,0,NA
Tom Hammonds,80.2,2.6,2.2,1.8,1.7,0.8,0.8,0.6,0.5
