Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Art Williams,,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0
Carlos Arroyo,90.2,4.7,3.7,2.8,2.7,2.5,1.3,0.4,0.3
Billy McKinney,87.2,3.4,3.3,3,2.7,2.3,0.9,0.1,NA
Kelvin Ransey,86.9,3.8,3.7,3.4,2.8,2.2,2,NA,NA
Marco Belinelli,86.6,5.9,3.4,3,2.9,2.9,1.2,0.5,0
Devean George,86.6,4.2,3.4,2.7,2.6,2.1,0.7,0.3,-0.3
Adrian Griffin,86.0,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1
Johnny Egan,85.7,5.1,3.6,3.2,3.1,3.1,1.4,1.3,0
Larry Miller,85.4,6.2,3.4,3.2,3,2.4,1.3,0,NA
Chico Vaughn,85.4,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4
Darrell Griffith,84.7,3.9,3.5,3.5,2.8,2.5,2.1,0.8,0.4
