,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,28,SDR,NBA,,12,,,,,,10,11,,,,,,,,,26
1968-69,29,SDR,NBA,,8,,,,,,7,10,,,,,,,,,21
1969-70,30,SDR,NBA,,10,,,,,,7,7,,,,,,,,,21
1970-71,31,BOS,NBA,,8,,,,,,6,7,,,,,,,,,19
1971-72,32,BOS,NBA,,9,,,,,,9,11,,,,,,,,,27
1972-73,33,BOS,NBA,,7,,,,,,4,5,,,,,,,,,16
1973-74,34,BOS,NBA,,6,,,,,,8,8,,,,,,,,,14
1974-75,35,SDA,ABA,,5,,0,,,,0,0,,,,,,,,,10
Career,,,TOT,,12,,,,,,10,11,,,,,,,,,27
,,,NBA,,12,,,,,,10,11,,,,,,,,,27
,,,ABA,,5,,0,,,,0,0,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,BOS,NBA,,9,,,,,,9,11,,,,,,,,,27
3 Seasons,,SDR,NBA,,12,,,,,,10,11,,,,,,,,,26
1 Season,,SDA,ABA,,5,,0,,,,0,0,,,,,,,,,10
