,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,MMP,ABA,,7,,0,,,,2,3,,,,,,,,,15
1972-73,24,TOT,ABA,,9,,4,,,,2,3,,,,,,,,,23
1972-73,24,KEN,ABA,,9,,4,,,,2,3,,,,,,,,,23
1973-74,25,TOT,ABA,,7,,2,,,,3,3,,,,,,,,,15
1973-74,25,NYA,ABA,,7,,2,,,,3,3,,,,,,,,,15
1974-75,26,NYA,ABA,,3,,3,,,,0,0,,,,,,,,,9
Career,,,,,9,,4,,,,3,3,,,,,,,,,23
1 Season,,KEN,ABA,,9,,4,,,,2,3,,,,,,,,,23
2 Seasons,,NYA,ABA,,7,,3,,,,3,3,,,,,,,,,15
1 Season,,MMP,ABA,,7,,0,,,,2,3,,,,,,,,,15
