Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Wendell Ladner,,4,1.1,0.2,-0.4,-1.3,NA,NA
Cedric Henderson,56.6,3.8,0.5,0,-0.2,-0.7,NA,NA
Harthorne Wingo,53.6,3.9,1.4,0.9,0,NA,NA,NA
Tommy Byrnes,49.8,4,1.7,0.9,0.3,-0.2,NA,NA
Tom Marshall,46.9,3.5,0.7,0.2,-0.3,NA,NA,NA
Paul Graham,46.8,3.6,1.9,0.2,NA,NA,NA,NA
Archie Dees,46.4,3.7,0.7,0.4,NA,NA,NA,NA
Richard Dumas,45.1,3.9,0.3,0.3,NA,NA,NA,NA
Dorian Finney-Smith,43.9,3.3,1.4,0.1,NA,NA,NA,NA
Reggie Williams,42.7,3.7,1.7,0.3,0.3,0.2,0.2,0
Donatas Motiejūnas,42.1,4.7,1.4,0.7,0.3,0.2,-0.1,NA
