Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Wendell Ladner,,4,1.1,0.2,-0.4,-1.3
Wayne Hightower,69.5,4,0.7,0,-0.2,-0.8
Cedric Henderson,56.6,3.8,0.5,0,-0.2,-0.7
Stew Johnson,55.7,3.6,1.8,-0.3,-0.4,-1.5
Darko Miličić,54.7,3.3,1.2,0.2,-0.2,-0.2
Harthorne Wingo,53.6,3.9,1.4,0.9,0,NA
Boštjan Nachbar,51.5,4.1,1.7,0.8,0.1,-0.1
Tommy Byrnes,49.8,4,1.7,0.9,0.3,-0.2
Tom Marshall,46.9,3.5,0.7,0.2,-0.3,NA
Paul Graham,46.8,3.6,1.9,0.2,NA,NA
Reggie Williams,46.6,3.7,1.7,0.3,0.3,0
