Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1976-77,22,PHO,NBA,SG,48,NA,487,86,162,0.531,76,99,0.768,18,56,74,36,11,7,46,248
Career,NA,,NBA,,48,NA,487,86,162,0.531,76,99,0.768,18,56,74,36,11,7,46,248
