Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Erick Strickland,,4.9,3.8,2.7,1.3,0.8,0.8,0.3,-0.3,-0.9,NA
Slick Watts,84.4,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Elliot Perry,82.5,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4
Scott Burrell,82.3,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA
Billy Kenville,81.4,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA
Fred Jones,79.6,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA
Whitey Skoog,79.5,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA
Roger Mason,79.3,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Paul Hoffman,79.2,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA
Fred Carter,78.3,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,NA,NA
Tim Hardaway,77.5,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA
