Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Harrison Barnes,,6.7,4.9,4.6,3.8,3.6,3.2,2.8
Glenn Robinson,97.5,6.7,4.8,4.7,4,3.5,3.2,3.1
Chris Morris,95.5,7.2,4.7,4.5,4,3.8,3.2,2.8
Tom Meschery,93.3,7.5,5.2,4.8,4.1,3.7,3.1,3
Harvey Grant,92.5,6.7,5,4.3,4,3.9,2.6,1.7
Darnell Hillman,92.3,6.2,4.4,4.2,3.8,3.3,3.2,3.2
Robert Reid,92.2,7.2,5.2,4.9,4.5,3.5,3,2.3
Mark Olberding,91.9,6.6,5.1,5.1,4.3,4.2,3.9,3.1
Walter Simon,91.5,6.1,4.8,4.5,4.1,3.4,2.7,2
Morris Peterson,91.1,5.9,5.1,4.9,4.9,3.6,3.2,2.9
Matt Bonner,90.0,6.8,4.4,4.2,4.1,3.7,2.2,2
