Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Harrison Barnes,,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
P.J. Tucker,94.6,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
Walter Simon,91.5,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA
Roy Hinson,87.3,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA,NA
Marcus Morris,87.0,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2,NA,NA,NA
Larry Siegfried,86.7,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA
Mel Hutchins,86.6,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA
Darnell Hillman,85.5,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,NA,NA
DeMarre Carroll,85.3,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1,NA
Phil Hubbard,84.8,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA
Kenny Thomas,84.8,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3
