Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tony Jaros,,4.4,2.2,1.3,0.6
Chris Wilcox,94.3,4.4,2.6,1.3,0.6
Dave Budd,90.8,4.1,2.3,1.2,0.9
Darren Daye,90.3,3.8,2.4,1.3,0.6
Trey Lyles,89.7,3.9,2.3,1.2,0.8
Andy Johnson,89.4,4.6,1.8,1.3,0.3
Bill Calhoun,88.9,4.5,2.2,2.1,0.4
Anthony Bonner,88.6,4.1,2.4,1.6,0.7
Carl Herrera,88.0,4.6,2.1,2,0.5
Mike Sweetney,88.0,3.8,2.1,1.4,0.4
Jeff Foster,87.7,4.2,2.7,1.6,0.6
