Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tony Jaros,,4.4,2.2,1.3,0.6,NA,NA,NA
Trey Lyles,89.7,3.9,2.3,1.2,0.8,NA,NA,NA
Andy Johnson,89.4,4.6,1.8,1.3,0.3,NA,NA,NA
Boštjan Nachbar,88.4,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Mike Sweetney,88.0,3.8,2.1,1.4,0.4,NA,NA,NA
Greg Kelser,85.5,3.9,2.5,1.4,0.8,0.1,0,NA
Rondae Hollis-Jefferson,85.4,4.1,2.6,1.2,1.2,NA,NA,NA
Larry Stewart,84.7,4.7,2.9,1.6,0.5,0.1,NA,NA
Harold Pressley,84.6,4.8,2.3,2.2,0.7,NA,NA,NA
Ime Udoka,83.9,3.9,2.8,1.3,0.8,0,0,0
Kyle Singler,83.8,4.4,2.3,2,1.1,0.3,0,NA
