Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,26,CHS,BAA,NA,59,NA,NA,0.348,0.295,NA,NA,NA,NA,NA,2.6,1.8,4.4,NA
1948-49,28,MNL,BAA,NA,59,NA,NA,0.396,0.286,NA,NA,NA,NA,NA,1.1,1.1,2.2,NA
1949-50,29,MNL,NBA,NA,61,NA,NA,0.362,0.332,NA,NA,NA,NA,NA,-0.4,1.7,1.3,NA
1950-51,30,MNL,NBA,NA,63,NA,NA,0.363,0.359,NA,NA,NA,NA,NA,-0.8,1.3,0.6,NA
Career,NA,,TOT,NA,242,NA,NA,0.365,0.311,NA,NA,NA,NA,NA,2.6,5.9,8.5,NA
,NA,,NBA,NA,124,NA,NA,0.362,0.345,NA,NA,NA,NA,NA,-1.1,3,1.9,NA
,NA,,BAA,NA,118,NA,NA,0.366,0.292,NA,NA,NA,NA,NA,3.7,2.9,6.6,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MNL,BAA,NA,183,NA,NA,0.376,0.322,NA,NA,NA,NA,NA,0,4.1,4.1,NA
1 season,NA,CHS,BAA,NA,59,NA,NA,0.348,0.295,NA,NA,NA,NA,NA,2.6,1.8,4.4,NA
