Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Bimbo Coles,,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0,0,-0.1
Lester Conner,89.1,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0,NA,NA
Nate Robinson,88.4,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0,NA,NA,NA
Lucious Harris,87.6,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,NA,NA
Craig Hodges,87.1,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA,NA,NA
Kevin Grevey,86.8,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA,NA,NA,NA
Blue Edwards,86.5,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,NA,NA,NA,NA
George McCloud,86.5,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,NA,NA
Hubert Davis,85.9,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,NA,NA
Foots Walker,85.6,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA,NA,NA
Bobby Jackson,85.1,5.5,5.4,3.5,3.1,3.1,3,2.5,2.2,1.4,1.2,1.2,-0.6,NA,NA
