Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jamario Moon,,5.7,4.9,2.9,1.1,-0.3,NA,NA
Bob Lavoy,88.2,5.8,5.8,3.4,1,NA,NA,NA
Larry Nance,87.1,5.8,4.9,3.5,2.2,NA,NA,NA
Ed Ratleff,87.1,5.6,4.5,2.1,1,0.5,NA,NA
Walt Budko,86.7,5.6,4,2.7,1.5,NA,NA,NA
Stan McKenzie,84.6,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Leo Barnhorst,82.9,4.7,4.6,3.6,1.3,NA,NA,NA
Randolph Mahaffey,82.7,5.7,4.7,3.7,2.6,NA,NA,NA
Dino Rađa,79.1,5.9,4.5,4,-0.2,NA,NA,NA
Jack Kerris,79.0,5.9,5.7,4.1,2.1,NA,NA,NA
Willie Murrell,78.9,7,4.6,3.1,NA,NA,NA,NA
