Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jamario Moon,,5.7,4.9,2.9,1.1,-0.3
Kenny Carr,88.8,5.8,3.8,2.9,1.1,0
Bob Lavoy,88.2,5.8,5.8,3.4,1,NA
Larry Nance,87.1,5.8,4.9,3.5,2.2,NA
Ed Ratleff,87.1,5.6,4.5,2.1,1,0.5
Walt Budko,86.7,5.6,4,2.7,1.5,NA
Stephen Jackson,86.3,4.8,4.4,3.1,0.9,-0.1
Stan McKenzie,86.2,6.1,5.3,2.4,0.6,0.1
Chris Wilcox,86.0,6,4.4,2.6,1.3,0.6
Gary Trent,85.2,5.5,4,3.1,1.7,0.1
Jason Maxiell,83.7,6.3,4.1,2.6,1.8,-0.2
