Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jackie Butler,,1.2,0.1,0.1,NA,NA,NA
Dwayne Jones,94.0,1.2,0.1,0.1,0,0,NA
Stephen Howard,87.7,1.3,0.2,0.1,0,NA,NA
Damjan Rudež,81.9,1.3,0.1,0.1,NA,NA,NA
Brian Evans,79.5,1.5,0.1,0.1,NA,NA,NA
Winston Bennett,78.7,1.1,0.3,0.2,NA,NA,NA
Kenny Dennard,75.3,1.1,0.3,0.1,NA,NA,NA
Mark Pope,74.5,1.3,0.1,0,0,-0.1,-0.1
Michael Young,73.5,1.1,0,0,NA,NA,NA
Damian Jones,72.2,1.5,0.1,0,NA,NA,NA
Ivano Newbill,72.2,1.1,0.1,-0.1,NA,NA,NA
