Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Samaki Walker,,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,0,-0.1
James Bailey,82.6,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA
Larry Krystkowiak,82.3,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA
Tim Perry,82.3,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1,NA,NA
Ed Nealy,82.0,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3
Travis Outlaw,80.0,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0.3,0,-0.1
Alex Hannum,79.8,5.1,2.1,1.7,1.6,0.5,0.4,NA,NA,NA,NA
Jon Leuer,79.8,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA
Wally Walker,79.0,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA,NA
Darrell Arthur,76.1,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA
Ron Behagen,76.1,4.3,2.4,2.2,2,1.8,0.2,0.1,NA,NA,NA
