Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brian Cardinal,,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0,0,0,0
Ben Warley,82.4,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,NA,NA,NA,NA
Terrence Jones,81.7,7.3,3,2.3,1.5,0.7,-0.1,NA,NA,NA,NA,NA,NA
Josh McRoberts,74.5,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0,NA
Larry Krystkowiak,73.5,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA,NA,NA
Toby Knight,72.9,7.3,5.7,1.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA
Monk Meineke,72.1,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA,NA,NA,NA
Don May,72.0,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA,NA,NA,NA
Tyler Zeller,72.0,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA,NA
Gary Bradds,71.3,8,3.6,3.4,0.5,0.3,0,NA,NA,NA,NA,NA,NA
Dario Šarić,70.9,6.6,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
