Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Brady Walker,,2.8,1.9,1.2,1,NA,NA,NA
Sam Mack,90.5,2.8,1.9,1.3,1.1,0.3,0,-0.1
Simmie Hill,89.6,3.1,1.6,1.2,1,NA,NA,NA
James Hardy,88.5,2.5,1.8,1.3,0.7,NA,NA,NA
Joey Graham,88.2,3,2.2,1.3,1.1,0.3,0,NA
Ronald Thomas,87.1,2.7,2,1.8,0.8,NA,NA,NA
Cristiano Felício,84.9,3.4,1.7,1.4,1.2,NA,NA,NA
Kenny Williams,83.1,2.7,2.4,1.6,0.7,NA,NA,NA
James Singleton,82.9,3,2.3,1.1,1,0.7,NA,NA
Chuck Terry,82.8,2.3,2.1,1.2,0.7,0.1,NA,NA
Rory White,82.7,2.6,1.5,1,1,0.4,NA,NA
