Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,27,PRO,BAA,PF,59,NA,NA,NA,NA,0.363,NA,NA,0.561,NA,NA,NA,NA
1949-50,28,BOS,NBA,PF,68,NA,NA,NA,NA,0.374,NA,NA,0.632,NA,NA,NA,NA
1950-51,29,TOT,NBA,PF,66,NA,NA,NA,NA,0.394,NA,NA,0.699,NA,NA,NA,NA
1950-51,29,BOS,NBA,PF,17,NA,NA,NA,NA,0.394,NA,NA,0.556,NA,NA,NA,NA
1950-51,29,BLB,NBA,PF,49,NA,NA,NA,NA,0.394,NA,NA,0.713,NA,NA,NA,NA
1951-52,30,BLB,NBA,PF,35,NA,699,4.6,11.2,0.41,1.3,1.8,0.765,10,2.1,2,10.5
Career,NA,,TOT,,228,NA,699,4.6,11.2,0.38,1.3,1.8,0.633,10,2.1,2,10.5
,NA,,NBA,,169,NA,699,4.6,11.2,0.387,1.3,1.8,0.677,10,2.1,2,10.5
,NA,,BAA,,59,NA,NA,NA,NA,0.363,NA,NA,0.561,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,85,NA,NA,NA,NA,0.375,NA,NA,0.626,NA,NA,NA,NA
2 seasons,NA,BLB,NBA,,84,NA,699,4.6,11.2,0.4,1.3,1.8,0.727,10,2.1,2,10.5
1 season,NA,PRO,BAA,,59,NA,NA,NA,NA,0.363,NA,NA,0.561,NA,NA,NA,NA
