Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Brady Walker,,2.8,1.9,1.2,1
Mark Madsen,93.9,2.7,1.9,1.1,1.1
Damien Wilkins,93.6,2.8,1.7,1,1
Robert Traylor,92.4,2.5,1.9,1.2,1
Corie Blount,90.9,2.5,1.7,1.2,0.9
Jeremy Evans,89.6,2.8,1.6,0.9,0.9
Simmie Hill,89.6,3.1,1.6,1.2,1
Howard Porter,88.9,2.7,2.4,1.1,1
George Lee,88.7,2.6,1.7,1.2,0.6
James Hardy,88.5,2.5,1.8,1.3,0.7
Mark Alarie,88.1,3.1,2.2,1.5,0.9
