,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,27,PRO,BAA,,9,,6,10,,,,22
1949-50,28,BOS,NBA,,10,,7,8,,,,20
1950-51,29,TOT,NBA,,8,,5,7,,,,19
1950-51,29,BOS,NBA,,2,,2,2,,,,4
1950-51,29,BLB,NBA,,8,,5,7,,,,19
1951-52,30,BLB,NBA,,6,,4,5,,,,14
Career,,,TOT,,10,,7,10,,,,22
,,,NBA,,10,,7,8,,,,20
,,,BAA,,9,,6,10,,,,22
,,,,,,,,,,,,
2 Seasons,,BLB,NBA,,8,,5,7,,,,19
2 Seasons,,BOS,NBA,,10,,7,8,,,,20
1 Season,,PRO,BAA,,9,,6,10,,,,22
