Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dick Farley,,3,2.8,2.5,NA,NA,NA,NA,NA
Eldridge Recasner,87.5,2.9,2.6,2.5,0.8,0.1,0,0,0
Zach LaVine,87.2,3,2.8,2.6,0.3,-0.7,NA,NA,NA
Lorenzo Romar,87.1,2.7,2.6,2.4,0.5,-0.1,NA,NA,NA
Mike Butler,80.8,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Mervin Jackson,80.8,3.1,3.1,1.8,-0.2,-0.2,NA,NA,NA
Ken Charles,80.1,3.3,3,2.3,0.6,0.6,NA,NA,NA
Yogi Ferrell,79.3,3,1.9,1.8,NA,NA,NA,NA,NA
Terry Furlow,77.8,3.3,2.8,1.1,0,NA,NA,NA,NA
Butch van Breda Kolff,77.2,4.4,2.5,2.3,0.2,NA,NA,NA,NA
Tyus Jones,75.8,3.6,3,1.5,0.3,NA,NA,NA,NA
