,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,30,TOT,NBA,SF,56,1690,.378,12.5,.873,.198,.209,.195,.272,.127,.386,.560,.326,.382,.308,.325,.465,.008,3,.885,.325,.308,1,0
2000-01,30,ATL,NBA,SF,17,550,.355,13.0,.825,.184,.212,.203,.226,.175,.341,.550,.174,.409,.265,.421,.328,.005,0,.813,.342,.462,1,0
2000-01,30,CLE,NBA,SF,39,1140,.390,12.3,.899,.205,.207,.190,.296,.101,.408,.565,.407,.367,.325,.238,.520,.010,3,1.000,.310,.154,0,0
2001-02,31,MIA,NBA,SF,55,1825,.442,13.8,.849,.182,.126,.214,.327,.151,.438,.602,.382,.452,.358,.469,.410,.019,8,.947,.420,.500,0,0
2002-03,32,SAC,NBA,SF,63,1309,.442,12.0,.846,.284,.165,.134,.264,.154,.440,.557,.434,.371,.352,.451,.488,.011,4,.906,.606,.558,3,0
2003-04,33,HOU,NBA,SF,80,3119,.424,17.8,.550,.108,.099,.117,.227,.450,.444,.402,.393,.514,.451,.400,.455,.003,3,.963,.491,.402,3,0
2004-05,34,TOT,NBA,SF,64,1987,.426,19.4,.493,.079,.064,.089,.261,.507,.439,.500,.378,.385,.454,.414,.476,.002,1,.926,.458,.422,3,0
2004-05,34,HOU,NBA,SF,24,990,.417,19.1,.481,.085,.074,.095,.226,.519,.471,.542,.476,.556,.406,.367,.516,.004,1,.963,.442,.446,2,0
2004-05,34,PHO,NBA,SF,40,997,.435,19.7,.505,.074,.054,.084,.294,.495,.411,.455,.250,.200,.489,.459,.435,.000,0,.897,.473,.400,1,0
2005-06,35,TOT,NBA,SF,40,512,.294,19.8,.538,.081,.050,.069,.338,.463,.337,.538,.250,.455,.278,.243,.552,.000,0,.833,.351,.269,0,0
2005-06,35,PHO,NBA,SF,27,420,.295,20.0,.512,.085,.039,.070,.318,.488,.364,.545,.000,.556,.317,.222,.542,.000,0,.786,.349,.273,0,0
2005-06,35,LAL,NBA,SF,13,92,.290,18.9,.645,.065,.097,.065,.419,.355,.250,.500,.667,.000,.154,.364,.600,.000,0,1.000,.364,.250,0,0
Career,,,NBA,,358,10442,.415,15.7,.693,.156,.125,.143,.269,.307,.423,.531,.373,.429,.381,.396,.459,.007,19,.935,.460,.417,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,104,4109,.423,18.1,.533,.102,.093,.112,.227,.467,.450,.430,.409,.523,.440,.391,.468,.003,4,.963,.478,.413,5,0
2 seasons,,PHO,NBA,,67,1417,.393,19.8,.507,.077,.049,.079,.301,.493,.396,.485,.190,.294,.434,.389,.465,.000,0,.878,.436,.370,1,0
1 season,,SAC,NBA,,63,1309,.442,12.0,.846,.284,.165,.134,.264,.154,.440,.557,.434,.371,.352,.451,.488,.011,4,.906,.606,.558,3,0
1 season,,MIA,NBA,,55,1825,.442,13.8,.849,.182,.126,.214,.327,.151,.438,.602,.382,.452,.358,.469,.410,.019,8,.947,.420,.500,0,0
1 season,,CLE,NBA,,39,1140,.390,12.3,.899,.205,.207,.190,.296,.101,.408,.565,.407,.367,.325,.238,.520,.010,3,1.000,.310,.154,0,0
1 season,,ATL,NBA,,17,550,.355,13.0,.825,.184,.212,.203,.226,.175,.341,.550,.174,.409,.265,.421,.328,.005,0,.813,.342,.462,1,0
1 season,,LAL,NBA,,13,92,.290,18.9,.645,.065,.097,.065,.419,.355,.250,.500,.667,.000,.154,.364,.600,.000,0,1.000,.364,.250,0,0
