Season,Team,Lg,Salary
1992-93,Washington Bullets,NBA,"$283,000"
1993-94,Washington Bullets,NBA,"$283,000"
1994-95,Washington Bullets,NBA,"$328,750"
1995-96,Washington Bullets,NBA,"$250,000"
1996-97,Houston Rockets,NBA,"$1,600,000"
1997-98,Houston Rockets,NBA,"$1,920,000"
1998-99,Houston Rockets,NBA,"$2,240,000"
1999-00,Vancouver Grizzlies,NBA,"$2,944,000"
2000-01,Vancouver Grizzlies,NBA,"$2,880,000"
2001-02,Sacramento Kings,NBA,"$3,680,000"
2002-03,Sacramento Kings,NBA,"$4,048,000"
Career,(may be incomplete),,"$20,456,750"
