,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,CHI,NBA,,8,,7,9,,,,,,,,23
1972-73,24,TOT,NBA,,11,,5,6,,,,,,,,25
1972-73,24,CHI,NBA,,4,7,0,2,,,7,1,,,3,8
1972-73,24,SEA,NBA,,11,,5,6,,,,,,,,25
1973-74,25,SEA,NBA,,10,,8,8,,,,,,,,22
1974-75,26,SEA,NBA,,2,,3,5,,,,,,,,6
Career,,,,,11,,8,9,,,,,,,,25
3 Seasons,,SEA,NBA,,11,,8,8,,,,,,,,25
2 Seasons,,CHI,NBA,,8,,7,9,,,,,,,,23
