Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kenny McIntosh,,0.7,-0.2,-0.4,-1.6
Boštjan Nachbar,-22.1,1.7,0.8,0.1,-0.1
Bill Martin,-22.9,0.6,-0.1,-0.2,NA
Brian Quinnett,-29.2,0.8,0.1,-0.1,NA
Bill Bunting,-30.9,2,0.7,0,NA
Bob Thornton,-31.7,0.9,0.4,0.1,-0.3
Ray Tolbert,-31.7,1.1,0.8,0.7,0.3
Linton Townes,-32.0,0.7,0,-0.1,NA
Joey Dorsey,-32.9,1.9,0.8,0.1,0
Alton Ford,-32.9,0.8,0.1,-0.1,NA
Howie Jolliff,-33.6,1.2,-0.2,-0.3,NA
