Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kenny McIntosh,,0.7,-0.2,-0.4,-1.6,NA
Bill Martin,-22.9,0.6,-0.1,-0.2,NA,NA
Brian Quinnett,-29.2,0.8,0.1,-0.1,NA,NA
Bill Bunting,-30.9,2,0.7,0,NA,NA
Linton Townes,-32.0,0.7,0,-0.1,NA,NA
Joey Dorsey,-32.9,1.9,0.8,0.1,0,NA
Alton Ford,-32.9,0.8,0.1,-0.1,NA,NA
Howie Jolliff,-33.6,1.2,-0.2,-0.3,NA,NA
Ray Tolbert,-34.0,1.1,0.8,0.7,0.3,0
Lonny Baxter,-34.7,1.5,0.9,0.7,-0.2,NA
Jamie Watson,-34.7,0.8,0.3,0.1,0,NA
