Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Warren,,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6
Matt Guokas,91.8,5.2,4.7,4.2,2.5,2.3,1.5,1.2,0.5
Bill Hanzlik,86.9,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1
John Roche,86.7,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5
Jerry Sichting,86.7,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
Bob Sura,86.6,5.2,4.9,4.1,1.8,1.6,0.7,0.4,0.1
Isaiah Rider,86.5,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8
Quinn Buckner,84.7,5.4,4.6,4.4,3.2,2,1.6,1.5,1.3
Hubert Davis,84.6,5.6,4.8,4.2,3.4,2.5,1.6,1.2,0.1
Tyreke Evans,84.6,5.4,4.6,4.4,3.1,2.7,1.6,1.4,0.7
Sedale Threatt,84.6,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
