Season,Team,Lg,Salary
1992-93,Denver Nuggets,NBA,"$850,000"
1993-94,Denver Nuggets,NBA,"$1,100,000"
1994-95,Denver Nuggets,NBA,"$1,375,000"
1995-96,Denver Nuggets,NBA,"$1,550,000"
1996-97,Denver Nuggets,NBA,"$3,400,000"
1997-98,Denver Nuggets,NBA,"$4,030,000"
1998-99,Denver Nuggets,NBA,"$4,666,000"
1999-00,Denver Nuggets,NBA,"$5,290,000"
2000-01,Boston Celtics,NBA,"$5,920,000"
2001-02,Cleveland Cavaliers,NBA,"$2,000,000"
2002-03,Los Angeles Clippers,NBA,"$2,000,000"
Career,(may be incomplete),,"$32,181,000"
