Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Bryant Stith,,6.8,5.6,5.2,4.8,3,1.6,1.6,0.7,0.5,-0.3
Willie Anderson,91.9,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA
Reggie Jackson,89.8,6.9,5,4.9,4.9,2.5,2,1.9,0.1,NA,NA
Raja Bell,87.7,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.1,0.5,-0.1
Dave Twardzik,86.1,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA
Mahmoud Abdul-Rauf,85.5,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA
Butch Beard,85.3,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA
Patty Mills,85.3,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0
John Salmons,84.9,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.4,0.6,0.4
Walt Hazzard,84.5,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2
Ricky Rubio,84.1,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA
