Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nick Collison,,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4,0.1
Rick Fox,90.7,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8,0.8,NA
Larry Smith,89.4,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,1.2,0.3,NA
Jared Dudley,88.8,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,1.8,0.8,NA,NA
Mark Olberding,88.4,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5,NA,NA
Al Harrington,86.4,5.9,5.4,4.3,3.9,3.9,3.8,3.5,3.2,2.6,2.1,1.6,1.2,1,-0.2
Sam Mitchell,86.2,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.9,0.6,NA
Jeff Green,85.5,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2,NA,NA,NA
Glenn Robinson,84.6,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5,NA,NA,NA
Brandon Bass,84.4,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2,0.1,0,NA,NA
Tom Meschery,84.1,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3,NA,NA,NA,NA
