Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Cliff Levingston,,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5
Wayman Tisdale,95.1,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2,1.8,1.7
Caron Butler,93.0,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.2
Amir Johnson,92.5,7.3,6.3,5.9,5.6,5.1,4.5,4,3,2.7,0.5,0.2
Junior Bridgeman,92.4,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Xavier McDaniel,91.5,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7
Ed Davis,90.9,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA
Rudy Gay,90.6,6.4,6.1,6,5.5,5,4.8,4,3.8,3.3,1.8,0.5
Juwan Howard,90.3,7,6,5.6,4.9,4.6,4.4,3.6,3.2,2.8,2.8,1.9
Kenyon Martin,89.8,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0
Terry Tyler,89.8,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2
