Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Cliff Levingston,,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA,NA
Wayman Tisdale,94.4,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2,1.8,1.7,-0.6,NA
Junior Bridgeman,91.7,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6,NA
Xavier McDaniel,91.5,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0,NA
Ed Davis,90.9,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA,NA,NA
Terry Tyler,89.8,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,NA,NA
Jim Washington,89.3,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0,NA,NA
Keith Van Horn,89.0,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA,NA,NA,NA
Bill Bradley,88.8,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,NA,NA,NA
Tom Gugliotta,88.8,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9,0.4,0.4,0.3
Bruce Bowen,88.6,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0,0
