Season,Team,Lg,Salary
1991-92,Los Angeles Clippers,NBA,"$180,000"
1993-94,Charlotte Hornets,NBA,"$150,000"
1995-96,Miami Heat,NBA,"$400,000"
Career,(may be incomplete),,"$730,000"
