Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
LeRon Ellis,,1.6,-0.1,-0.2
Larry Demic,86.1,1.6,-0.1,-0.1
John Rudometkin,78.9,1.6,-0.1,-0.5
Mike Maloy,71.1,1.3,-0.1,-0.3
Art Long,68.7,1.4,-0.1,-0.3
Damian Jones,65.2,1.5,0.1,0
Perry Jones,61.5,1.5,0.2,0
Brian Evans,60.6,1.5,0.1,0.1
Georges Niang,60.3,1.3,0,-0.3
Howie Jolliff,58.4,1.2,-0.2,-0.3
C.J. Kupec,55.5,1.5,0.5,-0.2
