Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Larry Nance,,5.8,4.9,3.5,2.2,NA,NA
Randolph Mahaffey,94.9,5.7,4.7,3.7,2.6,NA,NA
Jack Kerris,91.4,5.9,5.7,4.1,2.1,NA,NA
Ernie Vandeweghe,87.7,7.1,4.8,3.9,2.1,0.3,-0.1
Aaron Gordon,87.2,5.4,5.1,3.7,2.9,1,NA
Jamario Moon,87.1,5.7,4.9,2.9,1.1,-0.3,NA
Bob Lavoy,86.7,5.8,5.8,3.4,1,NA,NA
Michael Brooks,85.8,4.9,4.7,4.5,2.4,0,0
Julius Randle,84.9,6.6,6.1,3.5,1.6,-0.1,NA
Leo Barnhorst,84.2,4.7,4.6,3.6,1.3,NA,NA
Bob Harris,84.0,5,4.3,3.4,1.9,1,NA
