Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Larry Nance,,5.8,4.9,3.5,2.2
Josh Smith,95.6,5.8,4.4,3.6,2.4
Randolph Mahaffey,94.9,5.7,4.7,3.7,2.6
Cazzie Russell,94.1,5.9,5.2,4.1,2.2
Tyrone Hill,93.5,5.7,4.9,4.5,2.1
Purvis Short,93.1,5.4,5,3.7,2.6
Billy Owens,93.0,5.7,5.6,3.2,2.2
Keith Van Horn,92.9,5.5,4.8,3.7,2.8
Dick Schnittker,91.7,6.2,5.3,3.5,2.8
Jack Kerris,91.4,5.9,5.7,4.1,2.1
Junior Bridgeman,91.3,5.5,4,3.6,2.1
