,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BOS,NBA,,7,,,,,,6,8,,,,,,,19
1965-66,23,BOS,NBA,,6,,,,,,6,7,,,,,,,12
1967-68,25,INA,ABA,,6,,0,,,,10,12,,,,,,,22
Career,,,TOT,,7,,,,,,10,12,,,,,,,22
,,,NBA,,7,,,,,,6,8,,,,,,,19
,,,ABA,,6,,0,,,,10,12,,,,,,,22
,,,,,,,,,,,,,,,,,,,
2 Seasons,,BOS,NBA,,7,,,,,,6,8,,,,,,,19
1 Season,,INA,ABA,,6,,0,,,,10,12,,,,,,,22
