,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BOS,NBA,,2,5,,,,,4,5,,,1,0,,1,6
1965-66,23,BOS,NBA,,5,6,,,,,3,6,,,2,0,,1,10
1967-68,25,INA,ABA,,2,,0,,,,3,4,,,,,,,5
Career,,,TOT,,5,,,,,,4,6,,,,,,,10
,,,NBA,,5,6,,,,,4,6,,,2,0,,1,10
,,,ABA,,2,,0,,,,3,4,,,,,,,5
,,,,,,,,,,,,,,,,,,,
2 Seasons,,BOS,NBA,,5,6,,,,,4,6,,,2,0,,1,10
1 Season,,INA,ABA,,2,,0,,,,3,4,,,,,,,5
