Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,BOS,NBA,SF,37,,10.0,2.5,5.9,.414,,,,2.5,5.9,.414,.414,2.5,3.0,.821,,,2.1,0.5,,0.9,7.4
1965-66,23,BOS,NBA,SG,39,,8.0,1.9,5.3,.367,,,,1.9,5.3,.367,.367,1.3,1.6,.852,,,0.9,0.3,,0.7,5.2
1966-67,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,25,INA,ABA,SF,42,,10.1,1.9,5.0,.381,0.0,0.0,.000,1.9,5.0,.385,.381,2.0,2.5,.810,,,1.4,0.3,0.8,0.9,5.8
Career,NA,,TOT,,118,,9.4,2.1,5.4,.388,0.0,0.0,.000,2.1,5.4,.389,.388,1.9,2.4,.824,,,1.4,0.4,0.8,0.8,6.1
,NA,,NBA,,76,,9.0,2.2,5.6,.391,,,,2.2,5.6,.391,.391,1.9,2.3,.832,,,1.5,0.4,,0.8,6.3
,NA,,ABA,,42,,10.1,1.9,5.0,.381,0.0,0.0,.000,1.9,5.0,.385,.381,2.0,2.5,.810,,,1.4,0.3,0.8,0.9,5.8
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,NA,BOS,NBA,,76,,9.0,2.2,5.6,.391,,,,2.2,5.6,.391,.391,1.9,2.3,.832,,,1.5,0.4,,0.8,6.3
1 season,NA,INA,ABA,,42,,10.1,1.9,5.0,.381,0.0,0.0,.000,1.9,5.0,.385,.381,2.0,2.5,.810,,,1.4,0.3,0.8,0.9,5.8
