Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Doll,,4,2.8,1.8,1.6
Reggie Evans,92.5,3.8,3,2.1,1.7
Reggie Johnson,92.3,3.9,3,2.4,1.6
Nemanja Bjelica,91.7,4.5,2.8,1.9,1.5
John Brown,91.3,4.2,2.6,2.3,1.7
Derrek Dickey,91.1,3.8,3.1,2.3,1.7
Pat Cummings,91.0,4,2.7,2.5,1.8
Stacey King,90.6,3.6,3.1,1.9,1.5
Rodney Rogers,90.3,3.9,2.9,2.3,2
Bill Garnett,90.2,3.9,3.5,2,1.5
Eddie Griffin,89.9,3.9,3.2,2.4,1.5
