Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dennis Johnson,,8.4,8.1,7.4,6.7,6.6,6.6,6.4,5.8,5.7,5.2,5,4.5,3.8,2.5
Michael Finley,95.3,8.5,8.3,7.6,7.5,6.7,6.3,6.3,5.5,5.4,5,4.7,4.4,4.2,3.9
Mark Jackson,92.1,7.9,7.6,7.6,7.5,7.2,7.2,6.7,6.1,5.9,4.5,4.2,4.1,3.8,3.7
Joe Johnson,90.9,8.4,7.6,7.6,7,6.4,6,5.1,5.1,4.9,4.2,4.1,3.3,3,2.8
Rolando Blackman,89.6,9.8,8,7.3,7,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,NA
Andre Iguodala,89.5,9.6,9.2,7.7,7.5,7.3,6.9,6.7,6.7,6.6,5.8,5.6,5.1,4.4,3.2
Danny Ainge,88.9,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,3.4,2.8,1.8,0.5
Rod Strickland,87.6,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2
Bob Cousy,86.5,8.8,8.7,8.1,7.8,7.8,7.7,7.2,7.2,6.8,6.3,5.4,5.2,3.9,0.1
Byron Scott,86.5,10.7,7.7,6.9,6.8,6.6,6,6,5.2,4.1,3.9,3.3,3.1,2.7,2.3
Mike Bibby,85.4,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4,2.1,1.3,0.7
