Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bob Hansen,,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA,NA
Trenton Hassell,89.9,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,NA,NA
John Bagley,88.3,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3
Avery Bradley,87.1,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5,NA,NA
Elfrid Payton,85.9,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA,NA
Tim Hardaway,85.8,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA,NA
Winston Garland,85.5,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA,NA,NA
Daniel Gibson,85.2,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA,NA
Todd Day,84.6,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA,NA
Jamaal Tinsley,84.2,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
E'Twaun Moore,84.1,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA,NA
