Season,Team,Lg,Salary
1984-85,Utah Jazz,NBA,"$65,000"
1985-86,Utah Jazz,NBA,"$80,000"
1987-88,Utah Jazz,NBA,"$200,000"
1988-89,Utah Jazz,NBA,"$475,000"
1990-91,Sacramento Kings,NBA,"$550,000"
1991-92,Chicago Bulls,NBA,"$600,000"
1992-93,Chicago Bulls,NBA,"$600,000"
Career,(may be incomplete),,"$2,570,000"
