Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jacque Vaughn,,3.5,3,2,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0,-0.4
Frank Johnson,85.4,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,NA,NA
Sasha Vujačić,85.4,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1,NA,NA
John Battle,85.3,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA
Dudley Bradley,84.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA
Clint Richardson,84.5,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA,NA
Fatty Taylor,82.3,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA,NA
Rod Thorn,81.9,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA,NA
Steve Colter,81.6,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA,NA
Jim King,80.4,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA,NA
Mike Dunleavy,78.0,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1,0,-0.1,NA
