Season,Team,Lg,Salary
1985-86,Milwaukee Bucks,NBA,"$75,000"
1987-88,Los Angeles Lakers,NBA,"$75,000"
1988-89,Los Angeles Lakers,NBA,"$100,000"
Career,(may be incomplete),,"$250,000"
