Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jeff Lamp,,3,1,0.7,0.6,0,-0.1
Rowland Garrett,89.0,3.1,1.1,0.8,0.5,-0.1,NA
Charles Jones,84.2,2.9,0.9,0.6,0.1,NA,NA
Bill Turner,83.4,3.1,1.1,0.7,0.5,-0.2,-0.4
Dickey Simpkins,83.1,2.9,1.2,0.7,0.6,0.1,-0.7
Sam Young,82.3,2.9,1.2,0.9,0.2,NA,NA
Walter McCarty,80.5,2.9,1.8,0.7,0.5,0,-0.2
Darius Miller,79.5,3,1.6,0.8,0.5,-0.1,NA
Dick Schulz,78.7,2.9,0.8,0.6,0,NA,NA
Bob Quick,78.4,2.6,0.8,0.6,0.3,NA,NA
John Trapp,78.4,3.3,1.2,1.2,0.6,0,NA
