Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jeff Lamp,,3,1,0.7,0.6,0,-0.1,NA
Rowland Garrett,89.0,3.1,1.1,0.8,0.5,-0.1,NA,NA
Charles Jones,84.2,2.9,0.9,0.6,0.1,NA,NA,NA
Bill Turner,83.4,3.1,1.1,0.7,0.5,-0.2,-0.4,NA
Sam Young,82.3,2.9,1.2,0.9,0.2,NA,NA,NA
Dickey Simpkins,80.8,2.9,1.2,0.7,0.6,0.1,0,-0.7
Darius Miller,79.5,3,1.6,0.8,0.5,-0.1,NA,NA
Dick Schulz,78.7,2.9,0.8,0.6,0,NA,NA,NA
Bob Quick,78.4,2.6,0.8,0.6,0.3,NA,NA,NA
John Trapp,78.4,3.3,1.2,1.2,0.6,0,NA,NA
Derrick Jones,78.2,2.9,1.1,0.4,NA,NA,NA,NA
